Estacao	Data	Hora	Precipitacao
82191	09/10/1970	1200	0,4
82191	10/10/1970	1200	0
82191	11/10/1970	1200	0
82191	12/10/1970	1200	1,4
82191	13/10/1970	1200	0
82191	14/10/1970	1200	13,4
82191	15/10/1970	1200	0
82191	16/10/1970	1200	0
82191	17/10/1970	1200	1
82191	18/10/1970	1200	0,4
82191	19/10/1970	1200	0
82191	20/10/1970	1200	0,4
82191	21/10/1970	1200	3,2
82191	22/10/1970	1200	3
82191	23/10/1970	1200	24,2
82191	24/10/1970	1200	0
82191	25/10/1970	1200	5,4
82191	26/10/1970	1200	0
82191	27/10/1970	1200	13
82191	28/10/1970	1200	3
82191	29/10/1970	1200	4,6
82191	30/10/1970	1200	9,8
82191	31/10/1970	1200	1,4
82191	01/11/1970	1200	1
82191	02/11/1970	1200	9,6
82191	03/11/1970	1200	0,2
82191	04/11/1970	1200	0,2
82191	05/11/1970	1200	38
82191	06/11/1970	1200	8
82191	07/11/1970	1200	0
82191	08/11/1970	1200	3
82191	09/11/1970	1200	39,6
82191	10/11/1970	1200	0
